"Part";"Value";"Device";"Package";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"C1";"0.1 uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"63";"C";
"C2";"0.1 uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"63";"C";
"C3";"10 nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"63";"C";
"C4";"1 uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"63";"C";
"R1";"50 ohm";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"85";"R";
"U$1";"STM32F103C8T6";"STM32F103C8T6";"48-LQFP";"";"";"";"";
"U$2";"ADS1246";"ADS1246";"16-TSSOP";"";"";"";"";
"U$3";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"C5SMF-RJE-CT0W0BB2";"";"";"";"";
"U$4";"APA2107QWF/D";"APA2107QWF/D";"APA2107QWF/D";"";"";"";"";
"U$5";"PTS526";"PTS526";"PTS526";"";"";"";"";
"U$6";"XC6206P33MR-G";"XC6206P33MR-G";"SOT-23";"";"";"";"";
"X1";"1729128";"MKDSN1,5/2-5,08";"MKDSN1,5/2-5,08";"MKDSN 1,5/ 2-5,08 Printklemme";"1729128";"14";"";
